product_id,product_name,product_category,product_description,unit_price
606,Wrap Front Midi Skirt,Clothing - Bottoms,"Elegant midi skirt with a wrap design, great for both formal and casual events.",44.99
607,Car Windshield Sun Shade,Automotive,Protects car interior from sun damage and heat.,19.99
608,Electric Food Slicer,Kitchen,"Versatile slicer for meats, cheeses, and vegetables.",99.99
609,Classic Black Trousers,Clothing - Pants,Timeless black trousers for a smart and sophisticated look.,54.99
610,Compact Umbrella,Accessories,Portable and lightweight umbrella for protection from rain.,12.99
611,Plant-Based Cookbook,Books,Delicious recipes focusing on plant-based ingredients.,29.99
612,Black Bean Salsa,Food - Snacks,Spicy salsa made with black beans and tomatoes.,3.49
613,Scented Candles,Home,Set of three aromatic candles with various scents.,19.99
614,Hummus Trio Pack,Food - Snacks,"A variety pack of classic, roasted red pepper, and garlic hummus.",5.49
615,Lemon Herb Chicken,Food - Meat,Marinated chicken grilled with lemon and herbs.,7.49
616,Digital Stopwatch Timer,Fitness,Accurate stopwatch for timing events and workouts.,12.99
617,Chocolate Avocado Pudding,Food - Desserts,Rich and creamy pudding made with ripe avocados and cocoa.,4.99
618,Tuna Fish (canned),Food - Canned Goods,"Wild-caught tuna in olive oil, perfect for salads.",2.29
619,Dog Frisbee Toy,Pets,Durable and soft frisbee designed for dogs to play with.,10.99
620,Coconut Cream,Food - Baking & Cooking,"Rich cream extracted from coconut milk, ideal for desserts.",2.99
621,Reusable Produce Bags Set,Kitchen,Eco-friendly mesh bags for shopping produce at the market.,14.99
622,Lentil Pasta,Food - Pasta,"Gluten-free pasta made from lentils, high in protein.",4.99
623,Buffalo Chicken Wraps,Food - Prepared Meals,Savory wraps with buffalo chicken and fresh vegetables.,5.99
624,Jalapeño Cornbread,Food - Bakery,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,3.29
625,Travel Yoga Mat,Fitness,Lightweight yoga mat for practicing on the go.,34.99
626,Automatic Pet Feeder,Pets,Programmable pet feeder for scheduled meals.,69.99
627,Memory Foam Pillow,Home,Ergonomic memory foam pillow for better sleep.,39.99
628,Teriyaki Sauce,Food - Condiments,Sweet and savory sauce for marinating and glazing meats or vegetables.,2.99
629,Crew Neck Sweater,Clothing - Sweaters,"A comfortable crew neck sweater, great for all seasons.",39.99
630,Action Camera,Electronics,Compact action camera for capturing adventures.,199.99
631,Yoga Wheel,Fitness,Supportive yoga wheel for deep stretching and balance.,34.99
632,Cheesy Cauliflower Bake,Food - Frozen Vegetables,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",5.49
633,Peach Green Tea,Food - Beverages,"Refreshing green tea infused with peach, perfect for a hot day.",3.49
634,Peach & Mango Salsa,Food - Snacks,"A zesty salsa made with peaches and mangos, great for chips.",4.49
635,Air Fryer,Kitchen,Compact air fryer for healthier cooking.,79.99
636,Honey-Balsamic Vinaigrette,Food - Dressing,A sweet and tangy vinaigrette dressing for salads.,3.39
637,Cinnamon Ice Cream,Food - Frozen Desserts,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",4.99
638,Spicy BBQ Sauce,Food - Condiments,A tangy and spicy BBQ sauce that's perfect for grilling.,3.99
639,Vegetable Potstickers,Food - Frozen Food,"Delicious vegetable dumplings, perfect for steaming or frying.",5.99
640,Spicy Beef Taco Mix,Food - Condiments,Easy mix for making spicy beef tacos.,1.99
641,Cauliflower Gnocchi,Food - Frozen Foods,"Soft and pillowy gnocchi made from cauliflower, perfect with sauce.",3.59
642,Cauliflower Crust Pizza,Food - Freezer,A gluten-free pizza crust made from cauliflower.,7.99
643,Memory Foam Mattress Pad,Home,Extra layer of comfort for your mattress.,69.99
644,Fridge Magnet Set,Home,Fun fridge magnets to decorate your kitchen.,15.99
645,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",1.99
646,Wall-Mounted Bookshelf,Home,Floating bookshelf to display your favorite books.,39.99
647,Mediterranean Couscous Salad,Food - Salads,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",5.49
648,Snap-On Tupperware Set,Kitchen,Durable and versatile food storage containers.,34.99
649,Portable Air Purifier,Health,Compact air purifier to improve indoor air quality.,69.99
650,French Bread,Food - Bakery,"Freshly baked French baguette, perfect for dipping.",2.49
651,Robot Vacuum Cleaner,Home Appliances,Smart robotic vacuum for automatic cleaning.,299.99
652,Smartphone Hand Grip,Accessories,Sturdy grip to hold your phone securely while taking selfies.,9.99
653,Lightweight Rain Jacket,Clothing - Outerwear,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",79.99
654,Cheddar & Bacon Potato Skins,Food - Frozen,Gourmet potato skins loaded with cheddar cheese and bacon.,7.49
655,Cranberry Orange Juice,Food - Beverages,Refreshing juice blend of cranberries and oranges.,2.49
656,Smartphone Projector,Electronics,DIY projector that magnifies your smartphone screen for movie nights.,29.99
657,Stuffed Peppers with Quinoa,Food - Prepared Meals,Bell peppers filled with quinoa and vegetables.,7.99
658,Adjustable Laptop Stand,Office,Ergonomic stand for laptops to improve posture while working.,29.99
659,Magnet Travel Fridge Magnets,Accessories,Fun tourist magnets from around the world for your fridge.,12.99
660,Rechargeable Hand Warmer,Accessories,Portable rechargeable warmer for cold days.,22.99
661,Lemon Dill Chicken Skewers,Food - Meat,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",9.99
662,Digital Camera,Electronics,Compact digital camera with 20MP resolution.,299.99
663,Lemon Garlic Marinade,Food - Condiments,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",4.29
664,Denim Jacket,Clothing - Outerwear,A classic denim jacket that never goes out of style.,69.99
665,Chewy Granola Bars,Food - Snacks,Oats and honey bars with a chewy texture and nutty flavor.,3.49
666,Peanut Butter Pretzel Nuggets,Food - Snacks,Crunchy pretzel nuggets filled with creamy peanut butter.,3.29
667,Pet Travel Bowl,Pets,Collapsible travel bowl for pets on the go.,10.99
668,Self-Adhesive Wallpaper,Home,Peel and stick wallpaper for easy home decor changes.,34.99
669,Garden Hoses with Expandable Features,Garden,"Lightweight, expandable hoses for easy handling.",34.99
670,Diced Tomatoes (canned),Food - Canned Goods,"Canned diced tomatoes, great base for sauces and soups.",1.49
671,Smartphone Tripod with Bluetooth Remote,Photography,Tripod with wireless remote for effortless photo-taking.,29.99
672,Skincare Fridge,Beauty,Small fridge designed to keep skincare products cool and fresh.,39.99
673,Honey Sriracha Chicken Bites,Food - Frozen Foods,"Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet.",7.99
674,Apple Sauce,Food - Canned Goods,"Unsweetened apple sauce, great for snacks or baking.",2.19
675,Sliced Strawberries,Food - Fruits,Fresh sliced strawberries for toppings or snacking,4.99
676,Window A/C Unit,Home Appliances,Energy-efficient window air conditioner for cooling.,299.99
677,Insulated Lunch Bag,Kitchen,Stylish insulated lunch bag for on-the-go meals.,24.99
678,Creamy Garlic Mashed Potatoes,Food - Sides,Rich and buttery mashed potatoes with roasted garlic.,3.99
679,Organic Fruit Salad,Food - Produce,"Fresh fruit salad, ready to eat and refreshing.",4.49
680,Pesto Genovese,Food - Condiments,Traditional basil pesto made with extra virgin olive oil.,6.49
681,Magnetic Phone Case,Accessories,Stylish case with magnetic closure for smartphones.,19.99
682,Sesame Garlic Noodles,Food - Pasta,Delicious noodles tossed in a sesamegarlic sauce.,3.49
683,Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,Easy meal kit for creamy fettuccine Alfredo.,5.49
684,Coconut Curry Sauce,Food - Sauces,A flavorful sauce made with coconut milk and spices.,3.89
685,Pet Water Bottle,Pets,Portable water bottle for pets when traveling.,18.99
686,Electric Can Opener,Kitchen,Automatic can opener for easy meal prep.,29.99
687,Lockable Bicycle Chain,Outdoor,Heavy-duty chain lock for securing bicycles.,19.99
688,Gaming Mousepad,Gaming,Oversized gaming mousepad with smooth surface.,19.99
689,Pet Hair Remover,Pets,Effective roller for removing pet hair from furniture.,9.99
690,Sporty Cap,Clothing - Accessories,Stylish cap to complete your athletic look.,15.99
691,Wireless Music Receiver,Audio,Stream music from your device to any speaker wirelessly.,19.99
692,Home Karaoke System,Audio,Complete karaoke system with microphones and speakers.,129.99
693,Dog Waste Bag Dispenser,Pets,Convenient dispenser for dog waste bags on walks.,6.99
694,Frozen Broccoli,Food - Frozen,"Nutrient-rich broccoli, easy to add to any meal.",2.49
695,Sweet Potato Tots,Food - Frozen Foods,"Crispy sweet potato bites, delicious as a side or snack.",4.29
696,Chiffon Blouse,Clothing - Shirts,Elegant chiffon blouse perfect for work or outings.,39.99
697,Sliced Olives,Food - Condiments,"Pitted black olives, perfect for salads and pizzas.",1.99
698,Golf Putting Green,Sports,Indoor putting green for practicing your putting skills.,79.99
699,Heated Throw Blanket,Home,Soft blanket that provides warmth with adjustable settings.,49.99
700,High-Pressure Handheld Shower Head,Bathroom,Shower head designed for a strong spray and complete coverage.,39.99
701,Smart Thermostat,Smart Home,Wi-Fi enabled thermostat for energy-saving temperature control.,149.99
702,Coconut Milk Yogurt,Food - Dairy Alternatives,Creamy yogurt made with coconut milk,2.99
703,Apple Pie Filling,Food - Canned Goods,"Sweet and spiced apple filling, perfect for pies.",3.49
704,Coconut Chia Seed Pudding,Food - Snacks,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",2.99
705,Quinoa & Black Bean Salad,Food - Salads,A nutritious salad with quinoa and black beans,7.49
706,Electric Fondue Pot,Kitchen,Set for making fondue at home.,39.99
707,Insulated Coffee Mug,Kitchen,Double-walled mug to keep your drink hot for longer.,24.99
708,Car Escape Tool,Automotive,Multi-functional tool for emergency situations in the car.,12.99
709,Luxury Bathrobe,Clothing,Soft and cozy bathrobe perfect for relaxing at home.,49.99
710,Cranberry Almond Cookies,Food - Bakery,Delicious cookies with cranberries and almonds in every bite.,4.29
711,Miso Soup Mix,Food - Soups,"Instant miso soup mix, just add hot water for a warm meal.",3.29
712,Kale Caesar Salad Kit,Food - Salads,Fresh kale with Caesar dressing and croutons.,5.99
713,Almond Flour Pancake Mix,Food - Baking,Gluten-free pancake mix made with almond flour.,5.99
714,Hair Dryer,Beauty,Compact hair dryer with multiple heat settings.,39.99
715,Digital Bullet Journal,Apps,Stylish digital journaling app for notes and organizing tasks.,24.99
716,Organic Granola,Food - Breakfast,Healthy granola made with oats and honey.,5.49
717,DIY Candle Making Kit,Crafts,Everything you need to make your own candles.,22.99
718,Creamy Garlic Dressing,Food - Condiments,"Rich and creamy dressing with garlic flavor, perfect for salads.",3.99
719,Nail Polish Set,Beauty,Assorted nail polish set for vibrant nails.,25.0
720,Mushroom Soup (canned),Food - Canned Goods,Creamy soup full of rich mushroom flavor.,2.49
721,Cabbage Slaw Mix,Food - Vegetables,Fresh cabbage and carrot slaw mix for salads.,2.29
722,Blue Denim Jeans,Clothing - Bottoms,Classic fit blue jeans with a slight stretch for comfort and durability.,49.99
723,Organic Spinach,Food - Produce,"Fresh organic spinach, great for salads or cooking.",2.99
724,Ceramic Cookware Set,Kitchen,Durable and non-stick ceramic cookware for healthy cooking.,179.99
725,Spinach and Cheese Stuffed Shells,Food - Frozen Meals,Delicious pasta shells filled with spinach and cheese,5.99
726,Pet First Aid Kit,Pets,Essential kit for taking care of your pets' health emergencies.,29.99
727,Black Bean Spaghetti,Food - Pasta,"High-protein pasta made from black beans, gluten-free.",3.99
728,Chocolate Coconut Protein Balls,Food - Snacks,No-bake protein balls with chocolate and coconut flavors.,2.99
729,Elegant Maxi Skirt,Clothing - Bottoms,Float through the day in this beautiful floor-length skirt.,44.99
730,High-Top Leather Boots,Clothing - Footwear,Durable high-top leather boots for the stylish adventurer.,99.99
731,Cocktail Shaker Set,Kitchen,"Bartender kit with shaker, jigger, and strainer.",29.99
732,Beach Cover-Up,Clothing - Swimwear,"Lightweight cover-up perfect for the beach, with a breezy design.",29.99
733,Buffalo Cauliflower Wings,Food - Frozen Foods,Crispy cauliflower bites tossed in spicy buffalo sauce.,6.99
734,Saffron Rice Mix,Food - Grains,Flavorful rice mix with saffron and spices.,2.99
735,Couscous,Food - Grains,"Quick-cooking couscous, great as a side or base.",2.49
736,Cheddar Cheese Slices,Food - Dairy,"Creamy cheddar cheese slices, perfect for sandwiches and snacks.",3.49
737,Savory Oatmeal Cups,Food - Breakfast,"Savory oatmeal ready to eat, great for breakfast or a snack.",1.99
738,Fitness Resistance Bands,Fitness,Set of resistance bands for home workouts.,29.99
739,Fitness Jump Rope with LCD Counter,Fitness,Weighted jump rope that counts jumps and calories burned.,15.99
740,Dark Chocolate Bars,Food - Snacks,"Rich dark chocolate bars, perfect for a sweet treat.",2.99
741,Portable Blender,Kitchen,Battery-operated blender for smoothies on the go.,30.0
742,Carrot Ginger Soup,Food - Soups,"Smooth soup made from carrots and ginger, great for cold days.",4.29
743,Basic V-Neck T-Shirt,Clothing - Tops,A staple v-neck t-shirt that pairs well with anything.,19.99
744,Portable Pet Bathing Tool,Pets,Handheld sprayer designed for washing pets easily.,29.99
745,Protein Pancake Mix,Food - Breakfast,A protein-packed pancake mix for a nutritious breakfast.,3.99
746,Pita Bread,Food - Bakery,"Soft pita bread, perfect for sandwiches or dips.",2.99
747,Multi-Cooker,Kitchen,Versatile multi-cooker for pressure cooking and slow cooking.,89.99
748,Spicy Roasted Nuts,Food - Snacks,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",4.99
749,Leather Wallet,Accessories,Genuine leather wallet with multiple compartments.,49.99
750,Luxury Bath Salts,Beauty,Scented bath salts for relaxation and self-care.,19.99
751,Electronic Drum Kit,Music,Compact electronic drum kit for musicians of all levels.,359.99
752,Caramel Apple Chips,Food - Snacks,Crispy apple chips drizzled with caramel for a sweet treat.,3.49
753,Hand Crank Blender,Kitchen,Manual blender for smoothies and mixing ingredients on the go.,18.99
754,Nutty Quinoa Salad,Food - Salads,"A delicious salad with quinoa, nuts, and cranberries.",4.99
755,Vegetable Medley,Food - Produce,Mixed fresh vegetables for stir-frying or roasting.,2.99
756,Customizable Photo Calendar,Books,Personalized calendar with your favorite photos.,19.99
757,Portable Camping Shower,Outdoor,Convenient shower system for camping and outdoor activities.,39.99
758,Leek and Potato Soup,Food - Soups,Savory soup made with leeks and potatoes.,3.29
759,Teriyaki Chicken Bowl,Food - Prepared Meals,Ready-to-eat chicken bowl with teriyaki sauce and rice.,6.49
760,Peanut Butter Banana Smoothie Mix,Food - Beverages,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",4.49
761,Ice Cream,Food - Frozen Foods,"Rich and creamy ice cream, available in various flavors.",5.99
762,Pocket Blanket,Outdoor,"Compact, waterproof blanket for picnics and events.",24.99
763,Herbed Chicken Breast,Food - Meat,"Marinated chicken breast seasoned with herbs, ready for grilling.",7.99
764,Jigsaw Puzzle,Toys,500-piece jigsaw puzzle featuring beautiful scenery.,14.99
765,Spinach and Feta Stuffed Chicken Breast,Food - Meat,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",8.99
766,Reflective Safety Vest,Safety,Bright safety vest for outdoor visibility during any activity.,19.99
767,Pet Leash,Pets,Durable pet leash with comfortable handle.,15.99
768,Garden Vegetable Chips,Food - Snacks,"Crispy chips made from assorted garden vegetables, lightly salted.",3.49
769,Pet Carrier,Pets,Comfortable pet carrier for travel and vet visits.,39.99
770,Stuffed Bell Peppers,Food - Frozen Meals,Bell peppers stuffed with rice and vegetables,5.99
771,Portable Bluetooth Keyboard,Electronics,Compact keyboard for tablets and smartphones.,39.99
772,Fleece Hoodie,Clothing - Outerwear,Ultra-soft fleece hoodie for warmth and comfort during chilly days.,39.99
773,Roasted Garlic,Food - Condiments,Savory roasted garlic in a jar for easy use.,4.29
774,Freestanding Wine Rack,Home,Stylish wine rack to store and display bottles.,79.99
775,Caramelized Onion Dip,Food - Dairy,"Creamy dip made with caramelized onions, perfect for chips or veggies.",3.99
776,Mediterranean Chickpea Bowl,Food - Prepared Foods,"Chickpeas served with olives, feta, and hummus, a healthy meal.",6.49
777,Emergency Preparedness Kit,Safety,Complete kit for emergency situations including food and water.,99.99
778,Mini Projector for Smartphones,Electronics,Compact and portable projector for watching videos anywhere.,99.99
